Timestamp,Name,Action,Status,Image_Path,Confidence
28-11-2025 14:27,Guard,'Hands Up' required,TIMEOUT,alert_snapshots\alert_Guard_20251128_142730.jpg,0.82
28-11-2025 14:27,Guard,Standing,ALERT TRIGGERED,N/A,0.53
28-11-2025 14:27,Guard,Standing,ALERT CONTINUED,N/A,0.53
28-11-2025 14:27,Guard,Standing,ALERT CONTINUED,N/A,0.53
28-11-2025 14:27,Guard,'Hands Up' required,PERFORMED,N/A,0.82
28-11-2025 14:29,Guard,'Hands Up' required,TIMEOUT,alert_snapshots\alert_Guard_20251128_142936.jpg,0.91
28-11-2025 14:29,Guard,Standing,ALERT CONTINUED,N/A,0.69
28-11-2025 14:29,Guard,Standing,ALERT CONTINUED,N/A,0.69
28-11-2025 14:29,Guard,'Hands Up' required,PERFORMED,N/A,0.88
28-11-2025 14:30,FUGITIVE_target_Krunal_face,FUGITIVE_DETECTED,FIRST_APPEARANCE (confidence: 0.475),alert_snapshots\alert_FUGITIVE_target_Krunal_face_APPEARED_20251128_143006.jpg,0.475
28-11-2025 14:33,Guard,STILLNESS_ALERT,NO MOTION FOR 15.1 SECONDS,N/A,1
03-12-2025 14:46,FUGITIVE_target_fugitive_face,FUGITIVE_DETECTED,FIRST_APPEARANCE (confidence: 0.354),alert_snapshots\alert_FUGITIVE_target_fugitive_face_APPEARED_20251203_144655.jpg,0.354
09-12-2025 10:51,KD,'Hands Up' required,TIMEOUT,alert_snapshots\alert_KD_20251209_105159.jpg,0.39
09-12-2025 10:52,KD,Standing,ALERT TRIGGERED,N/A,0.65
09-12-2025 10:52,KD,Standing,ALERT CONTINUED,N/A,0.65
09-12-2025 10:52,KD,Standing,ALERT CONTINUED,N/A,0.65
09-12-2025 10:52,KD,Standing,ALERT CONTINUED,N/A,0.65
09-12-2025 10:52,KD,Standing,ALERT CONTINUED,N/A,0.65
09-12-2025 10:52,KD,Standing,ALERT CONTINUED,N/A,0.65
09-12-2025 10:52,KD,Standing,ALERT CONTINUED,N/A,0.65
09-12-2025 10:52,KD,Standing,ALERT CONTINUED,N/A,0.65
09-12-2025 10:52,KD,Standing,ALERT CONTINUED,N/A,0.65
09-12-2025 10:52,KD,Standing,ALERT CONTINUED,N/A,0.65
09-12-2025 10:52,KD,'Hands Up' required,PERFORMED,N/A,0.58
09-12-2025 10:53,KD,'Hands Up' required,TIMEOUT,alert_snapshots\alert_KD_20251209_105330.jpg,0.39
09-12-2025 10:53,KD,Standing,ALERT CONTINUED,N/A,0.59
09-12-2025 10:53,KD,Standing,ALERT CONTINUED,N/A,0.59
09-12-2025 10:53,KD,'Hands Up' required,PERFORMED,N/A,0.45
09-12-2025 10:54,KD,MISSING,ALERT TRIGGERED - TARGET MISSING,alert_snapshots\alert_KD_20251209_105434.jpg,0.58
09-12-2025 10:54,KD,MISSING,ALERT TRIGGERED - TARGET MISSING,N/A,0
09-12-2025 16:51,FUGITIVE_target_Rudresh_face,FUGITIVE_DETECTED,FIRST_APPEARANCE (confidence: 0.358),alert_snapshots\alert_FUGITIVE_target_Rudresh_face_APPEARED_20251209_165154.jpg,0.358
09-12-2025 17:25,FUGITIVE_target_Rudresh_face,FUGITIVE_DETECTED,FIRST_APPEARANCE (confidence: 0.508),alert_snapshots\alert_FUGITIVE_target_Rudresh_face_APPEARED_20251209_172520.jpg,0.508
09-12-2025 17:38,FUGITIVE_01_front,FUGITIVE_DETECTED,FIRST_APPEARANCE (confidence: 0.575),alert_snapshots\alert_FUGITIVE_01_front_APPEARED_20251209_173812.jpg,0.575
2025-12-10 10:47:54,FUGITIVE_front,FUGITIVE_DETECTED,FIRST_APPEARANCE (confidence: 0.610),alert_snapshots\alert_FUGITIVE_front_APPEARED_20251210_104754.jpg,0.610
2025-12-10 10:48:25,Krunal,'Hands Up' required,PERFORMED,N/A,1.00
2025-12-10 10:50:26,Krunal,'Hands Up' required,TIMEOUT,alert_snapshots\alert_Krunal_20251210_105026.jpg,1.00
2025-12-10 10:50:26,Krunal,Standing,ALERT TRIGGERED,N/A,0.49
2025-12-10 10:50:29,Krunal,Standing,ALERT CONTINUED,N/A,0.49
2025-12-10 10:50:32,Krunal,Standing,ALERT CONTINUED,N/A,0.49
2025-12-10 10:50:35,Krunal,Standing,ALERT CONTINUED,N/A,0.49
2025-12-10 10:50:38,Krunal,Standing,ALERT CONTINUED,N/A,0.49
2025-12-10 10:50:41,Krunal,Standing,ALERT CONTINUED,N/A,0.49
